REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
CB44,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,81.7626,114.6302,180,YES
CB58,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,19.812,109.2962,0,YES
CB59,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,69.8754,109.2708,0,YES
CB68,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,37.1602,106.5276,180,YES
CB69,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,87.2236,106.5022,180,YES
CB90,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,21.4376,79.4766,90,YES
CB91,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,71.501,79.4512,90,YES
CB100,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,81.9658,69.4182,180,YES
CB101,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,31.6738,69.4182,180,YES
CB104,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,70.0786,64.0588,0,YES
CB105,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,19.7866,64.0588,0,YES
CB106,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,87.4268,61.2902,180,YES
CB107,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,37.1348,61.2902,180,YES
CB113,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,65.278,36.5506,0,YES
CB116,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,15.8496,36.2458,0,YES
CT37,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,122.7074,111.8362,0,YES
CB5,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,69.8754,157.226,0,YES
CB6,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,19.9136,156.6672,0,YES
CB14,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,120.904,137.5156,0,YES
CB49,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,69.8754,112.7506,0,YES
CB50,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,19.812,113.2586,0,YES
CB102,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,19.7866,67.691,0,YES
CB103,CAP_NP_CAP1206_DISCRETE_1 UF_,1 UF,,CAP1206,70.0786,67.5132,0,YES
DB18,TVS_2X_D0603_DISCRETE_PGB1010603NR,PGB1010603NR,,D0603,110.4646,159.2156,0,YES
DB19,TVS_2X_D0603_DISCRETE_PGB1010603NR,PGB1010603NR,,D0603,105.3599,159.2072,180,YES
