REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
RT14,R_RES0603_1.78K,1.78K,,RES0603,31.3436,139.954,180,NO
RT15,R_RES0603_1.78K,1.78K,,RES0603,81.3054,139.954,180,NO
RT34,R_RES0603_1.78K,1.78K,,RES0603,132.4356,120.777,180,NO
RT61,R_RES0603_1.78K,1.78K,,RES0603,31.242,95.4024,180,NO
RT62,R_RES0603_1.78K,1.78K,,RES0603,81.3054,95.377,180,NO
RT117,R_RES0603_1.78K,1.78K,,RES0603,31.2166,50.165,180,NO
RT118,R_RES0603_1.78K,1.78K,,RES0603,81.5086,50.165,180,NO
RT126,R_RES0603_100 OHM,100 Ohm,,RES0603,149.188,42.7736,180,NO
RT127,R_RES0603_100 OHM,100 Ohm,,RES0603,154.9908,41.3766,135,NO
RT128,R_RES0603_100 OHM,100 Ohm,,RES0603,146.685,40.4876,45,NO
RT129,R_RES0603_100 OHM,100 Ohm,,RES0603,145.8214,36.8411,90,NO
RT130,R_RES0603_100 OHM,100 Ohm,,RES0603,156.4894,36.2712,90,NO
RT135,R_RES0603_100 OHM,100 Ohm,,RES0603,144.7546,33.6042,315,NO
RT141,R_RES0603_100 OHM,100 Ohm,,RES0603,147.4372,30.48,0,NO
RT145,R_RES0603_100 OHM,100 Ohm,,RES0603,130.429,29.7466,0,NO
RT147,R_RES0603_100 OHM,100 Ohm,,RES0603,135.001,26.6326,90,NO
RT150,R_RES0603_100 OHM,100 Ohm,,RES0603,138.43,22.0846,90,NO
RT5,R_RES0603_10K,10K,,RES0603,104.4332,156.7577,270,NO
RT12,R_RES0603_10K,10K,,RES0603,29.1084,143.9926,180,NO
RT13,R_RES0603_10K,10K,,RES0603,79.0702,143.9926,180,NO
RT31,R_RES0603_10K,10K,,RES0603,179.8066,121.666,270,NO
RT36,R_RES0603_10K,10K,,RES0603,188.2246,118.2132,270,NO
RT40,R_RES0603_10K,10K,,RES0603,226.7712,110.6932,270,NO
RT54,R_RES0603_10K,10K,,RES0603,29.0068,99.441,180,NO
RT55,R_RES0603_10K,10K,,RES0603,79.0702,99.4156,180,NO
RT101,R_RES0603_10K,10K,,RES0603,208.9122,66.0646,0,NO
RT103,R_RES0603_10K,10K,,RES0603,165.5572,65.8114,270,NO
RT107,R_RES0603_10K,10K,,RES0603,202.6666,57.531,270,NO
RT110,R_RES0603_10K,10K,,RES0603,28.9814,54.2036,180,NO
RT111,R_RES0603_10K,10K,,RES0603,79.2734,54.2036,180,NO
